event,request,time
event,request,time
home,.,6.601
m3u8,output/stream.m3u8,8.918
ts,output/stream0.ts,9.176
ts,output/stream1.ts,10.155
ts,output/stream2.ts,10.898
ts,output/stream3.ts,11.479
home,.,23.745
m3u8,output/stream.m3u8,26.258
ts,output/stream0.ts,26.438
ts,output/stream1.ts,27.082
ts,output/stream2.ts,27.466
ts,output/stream3.ts,27.815
home,.,37.849
m3u8,output/stream.m3u8,40.008
ts,output/stream0.ts,40.198
ts,output/stream1.ts,40.857
ts,output/stream2.ts,41.205
ts,output/stream3.ts,41.514
home,.,72.706
m3u8,output/more/small/stream.m3u8,74.384
ts,output/more/small/stream0.ts,74.577
ts,output/more/small/stream1.ts,76.252
ts,output/more/small/stream2.ts,77.463
ts,output/more/small/stream3.ts,78.44
ts,output/more/small/stream4.ts,80.244
ts,output/more/small/stream5.ts,88.518
ts,output/more/small/stream6.ts,96.917
ts,output/more/small/stream7.ts,105.217
ts,output/more/small/stream8.ts,113.548
ts,output/more/small/stream9.ts,121.918
ts,output/more/small/stream10.ts,130.214
ts,output/more/small/stream11.ts,138.536
ts,output/more/small/stream12.ts,146.997
ts,output/more/small/stream13.ts,155.226
ts,output/more/small/stream14.ts,157.627
ts,output/more/small/stream15.ts,163.915
home,.,197.563
m3u8,output/more/small/stream.m3u8,199.918
ts,output/more/small/stream0.ts,200.116
ts,output/more/small/stream1.ts,201.882
ts,output/more/small/stream2.ts,203.139
ts,output/more/small/stream3.ts,205.164
ts,output/more/small/stream4.ts,206.62
ts,output/more/small/stream5.ts,214.152
ts,output/more/small/stream6.ts,222.455
ts,output/more/small/stream7.ts,230.854
ts,output/more/small/stream8.ts,239.161
ts,output/more/small/stream9.ts,247.454
ts,output/more/small/stream10.ts,255.874
ts,output/more/small/stream11.ts,264.154
ts,output/more/small/stream12.ts,272.456
ts,output/more/small/stream13.ts,280.855
ts,output/more/small/stream14.ts,283.255
ts,output/more/small/stream15.ts,289.451
home,.,324.637
m3u8,output/more/small/stream.m3u8,328.259
ts,output/more/small/stream0.ts,328.449
ts,output/more/small/stream1.ts,329.853
ts,output/more/small/stream2.ts,330.959
ts,output/more/small/stream3.ts,331.864
ts,output/more/small/stream4.ts,333.792
ts,output/more/small/stream5.ts,342.091
ts,output/more/small/stream6.ts,350.391
ts,output/more/small/stream7.ts,358.791
ts,output/more/small/stream8.ts,367.091
ts,output/more/small/stream9.ts,375.394
ts,output/more/small/stream10.ts,383.791
ts,output/more/small/stream11.ts,392.089
ts,output/more/small/stream12.ts,400.392
ts,output/more/small/stream13.ts,408.79
ts,output/more/small/stream14.ts,411.202
ts,output/more/small/stream15.ts,417.386
home,.,486.555
m3u8,output/more/large/stream.m3u8,488.309
ts,output/more/large/stream0.ts,488.489
ts,output/more/large/stream1.ts,489.365
ts,output/more/large/stream2.ts,489.899
ts,output/more/large/stream3.ts,490.424
ts,output/more/large/stream4.ts,490.866
ts,output/more/large/stream5.ts,491.209
ts,output/more/large/stream6.ts,493.868
ts,output/more/large/stream7.ts,496.375
ts,output/more/large/stream8.ts,500.274
ts,output/more/large/stream9.ts,505.676
ts,output/more/large/stream10.ts,511.166
ts,output/more/large/stream11.ts,519.269
ts,output/more/large/stream12.ts,522.472
ts,output/more/large/stream13.ts,526.045
ts,output/more/large/stream14.ts,526.908
ts,output/more/large/stream15.ts,527.195
ts,output/more/large/stream16.ts,527.578
ts,output/more/large/stream17.ts,528.025
ts,output/more/large/stream18.ts,529.565
ts,output/more/large/stream19.ts,530.769
ts,output/more/large/stream20.ts,534.274
ts,output/more/large/stream21.ts,538.968
ts,output/more/large/stream22.ts,544.971
ts,output/more/large/stream52.ts,545.794
ts,output/more/large/stream55.ts,545.813
ts,output/more/large/stream56.ts,545.814
ts,output/more/large/stream57.ts,545.833
ts,output/more/large/stream58.ts,545.841
ts,output/more/large/stream60.ts,545.843
ts,output/more/large/stream76.ts,545.998
ts,output/more/large/stream78.ts,546.005
ts,output/more/large/stream84.ts,546.109
ts,output/more/large/stream87.ts,546.125
ts,output/more/large/stream89.ts,546.131
ts,output/more/large/stream90.ts,546.217
ts,output/more/large/stream94.ts,546.218
ts,output/more/large/stream92.ts,546.291
ts,output/more/large/stream96.ts,546.328
ts,output/more/large/stream97.ts,546.442
ts,output/more/large/stream98.ts,546.654
ts,output/more/large/stream100.ts,547.351
ts,output/more/large/stream101.ts,549.165
ts,output/more/large/stream102.ts,549.62
ts,output/more/large/stream103.ts,550.064
ts,output/more/large/stream104.ts,550.933
ts,output/more/large/stream105.ts,551.231
ts,output/more/large/stream106.ts,553.02
ts,output/more/large/stream107.ts,553.38
ts,output/more/large/stream108.ts,554.176
ts,output/more/large/stream109.ts,557.669
ts,output/more/large/stream117.ts,565.037
ts,output/more/large/stream130.ts,565.229
ts,output/more/large/stream132.ts,565.258
ts,output/more/large/stream135.ts,565.262
ts,output/more/large/stream137.ts,565.268
ts,output/more/large/stream134.ts,565.281
ts,output/more/large/stream139.ts,565.335
ts,output/more/large/stream160.ts,565.466
ts,output/more/large/stream162.ts,565.474
ts,output/more/large/stream163.ts,565.479
ts,output/more/large/stream168.ts,565.537
ts,output/more/large/stream167.ts,565.543
ts,output/more/large/stream165.ts,565.546
ts,output/more/large/stream183.ts,565.673
ts,output/more/large/stream184.ts,565.684
ts,output/more/large/stream185.ts,567.16
ts,output/more/large/stream186.ts,569.862
ts,output/more/large/stream187.ts,571.435
ts,output/more/large/stream188.ts,572.31
ts,output/more/large/stream189.ts,573.374
ts,output/more/large/stream190.ts,573.84
ts,output/more/large/stream191.ts,574.534
ts,output/more/large/stream192.ts,576.576
ts,output/more/large/stream193.ts,586.565
ts,output/more/large/stream214.ts,588.166
ts,output/more/large/stream228.ts,588.343
ts,output/more/large/stream230.ts,588.376
ts,output/more/large/stream231.ts,589.777
ts,output/more/large/stream232.ts,591.853
ts,output/more/large/stream233.ts,592.383
ts,output/more/large/stream234.ts,592.913
ts,output/more/large/stream235.ts,594.042
ts,output/more/large/stream236.ts,595.149
ts,output/more/large/stream237.ts,596.169
ts,output/more/large/stream238.ts,601.237
ts,output/more/large/stream253.ts,603.847
ts,output/more/large/stream254.ts,612.458
ts,output/more/large/stream255.ts,613.362
ts,output/more/large/stream256.ts,617.322
ts,output/more/large/stream257.ts,620.468
ts,output/more/large/stream258.ts,627.13
home,.,781.86
m3u8,output/more/large/stream.m3u8,784.494
ts,output/more/large/stream0.ts,784.69
ts,output/more/large/stream1.ts,785.64
ts,output/more/large/stream2.ts,786.791
ts,output/more/large/stream3.ts,787.874
ts,output/more/large/stream4.ts,788.616
ts,output/more/large/stream5.ts,789.196
ts,output/more/large/stream6.ts,790.235
ts,output/more/large/stream7.ts,792.731
ts,output/more/large/stream8.ts,796.531
ts,output/more/large/stream9.ts,802.04
ts,output/more/large/stream25.ts,803.448
ts,output/more/large/stream58.ts,803.678
ts,output/more/large/stream60.ts,803.686
ts,output/more/large/stream61.ts,805.281
ts,output/more/large/stream62.ts,806.556
ts,output/more/large/stream63.ts,806.854
ts,output/more/large/stream64.ts,807.486
ts,output/more/large/stream65.ts,808.031
ts,output/more/large/stream66.ts,808.295
