event,request,time
event,request,time
home,.,10.441
m3u8,output/stream.m3u8,13.169
ts,output/stream0.ts,13.715
ts,output/stream1.ts,15.346
ts,output/stream2.ts,16.566
ts,output/stream3.ts,18.978
home,.,20.687
m3u8,output/stream.m3u8,22.619
ts,output/stream0.ts,25.793
ts,output/stream1.ts,28.361
ts,output/stream2.ts,29.766
ts,output/stream3.ts,30.768
home,.,49.426
m3u8,output/more/small/stream.m3u8,51.067
ts,output/more/small/stream0.ts,51.565
ts,output/more/small/stream1.ts,65.09
ts,output/more/small/stream2.ts,76.43
ts,output/more/small/stream3.ts,83.119
ts,output/more/small/stream4.ts,98.231
home,.,105.077
ts,output/more/small/stream5.ts,105.211
m3u8,output/more/small/stream.m3u8,113.822
ts,output/more/small/stream0.ts,114.837
ts,output/more/small/stream6.ts,115.123
ts,output/more/small/stream0.ts,134.404
m3u8,output/more/small/stream.m3u8,137.181
ts,output/more/small/stream7.ts,138.095
ts,output/more/small/stream0.ts,138.148
ts,output/more/small/stream8.ts,142.578
ts,output/more/small/stream9.ts,149.732
ts,output/more/small/stream10.ts,159.605
ts,output/more/small/stream11.ts,165.898
ts,output/more/small/stream1.ts,167.816
ts,output/more/small/stream12.ts,174.853
ts,output/more/small/stream13.ts,188.513
ts,output/more/small/stream2.ts,189.886
ts,output/more/small/stream14.ts,199.77
ts,output/more/small/stream3.ts,213.035
ts,output/more/small/stream15.ts,219.055
ts,output/more/small/stream4.ts,221.129
ts,output/more/small/stream5.ts,236.468
ts,output/more/small/stream6.ts,243.431
ts,output/more/small/stream7.ts,254.326
ts,output/more/small/stream8.ts,263.391
ts,output/more/small/stream9.ts,267.599
ts,output/more/small/stream10.ts,273.469
ts,output/more/small/stream11.ts,282.968
ts,output/more/small/stream12.ts,295.729
ts,output/more/small/stream13.ts,307.074
ts,output/more/small/stream14.ts,310.097
ts,output/more/small/stream15.ts,327.385
home,.,366.454
m3u8,output/more/small/stream.m3u8,369.639
ts,output/more/small/stream0.ts,369.85
ts,output/more/small/stream1.ts,372.549
ts,output/more/small/stream2.ts,376.138
ts,output/more/small/stream3.ts,377.807
ts,output/more/small/stream4.ts,380.575
ts,output/more/small/stream5.ts,384.886
home,.,385.313
ts,output/more/small/stream6.ts,393.192
m3u8,output/more/small/stream.m3u8,393.659
ts,output/more/small/stream0.ts,394.129
ts,output/more/small/stream7.ts,401.506
ts,output/more/small/stream1.ts,402.211
ts,output/more/small/stream8.ts,414.336
ts,output/more/small/stream2.ts,423.036
ts,output/more/small/stream9.ts,427.08
ts,output/more/small/stream3.ts,427.811
ts,output/more/small/stream10.ts,436.558
ts,output/more/small/stream11.ts,461.087
ts,output/more/small/stream4.ts,464.262
ts,output/more/small/stream12.ts,466.264
ts,output/more/small/stream13.ts,476.821
ts,output/more/small/stream14.ts,483.131
ts,output/more/small/stream5.ts,492.376
home,.,502.917
ts,output/more/small/stream15.ts,503.069
ts,output/more/small/stream6.ts,503.807
ts,output/more/small/stream7.ts,510.936
ts,output/more/small/stream8.ts,515.29
ts,output/more/small/stream9.ts,528.51
ts,output/more/small/stream10.ts,535.211
ts,output/more/small/stream11.ts,543.725
ts,output/more/small/stream12.ts,549.447
ts,output/more/small/stream13.ts,554.986
ts,output/more/small/stream14.ts,558.54
ts,output/more/small/stream15.ts,568.456
home,.,721.727
home,.,723.099
m3u8,output/more/large/stream.m3u8,723.835
